# Feasibility test for 500 iterations
#
# S/N	Njet	mean p-value
0.00208114	165.585	-1
0.00208114	931.155	-1
0.00208114	5236.27	-1
0.00208114	29445.7	-1
0.00658114	165.585	-1
0.00658114	931.155	-1
0.00658114	5236.27	-1
0.00658114	29445.7	-1
0.0208114	165.585	0.480803
0.0208114	931.155	0.49471
0.0208114	5236.27	0.557632
0.0208114	29445.7	0.779605
0.0658114	165.585	0.450757
0.0658114	931.155	0.523218
0.0658114	5236.27	0.652741
0.0658114	29445.7	0.963008
0.208114	165.585	0.467337
0.208114	931.155	0.57729
0.208114	5236.27	0.873375
0.208114	29445.7	0.99871
0.658114	165.585	0.442394
0.658114	931.155	0.72364
0.658114	5236.27	0.988264
0.658114	29445.7	0.999997
2.08114	165.585	0.317986
2.08114	931.155	0.91407
2.08114	5236.27	0.999874
2.08114	29445.7	1
6.58114	165.585	0.177883
6.58114	931.155	0.981014
6.58114	5236.27	1
6.58114	29445.7	1
