# Feasibility test for 2500 iterations
#
# S/N	Njet	mean p-value
0.55	815.569	1
5.5	815.569	1
0.55	25790.6	1
5.5	25790.6	1
0.208114	165.585	0.952535
0.208114	931.155	1
0.658114	165.585	1
0.658114	931.155	1
2.08114	165.585	1
6.58114	165.585	1
0.0208114	165.585	0.607782
0.0208114	931.155	0.870074
0.0208114	5236.27	0.995622
0.0208114	29445.7	1
0.0658114	165.585	0.768487
0.0658114	931.155	0.984441
0.0658114	5236.27	1
0.208114	5236.27	1
0.658114	5236.27	1
2.08114	931.155	1
6.58114	931.155	1
