# Feasibility test for 500 iterations
#
# S/N	Njet	mean p-value
0.0208114	165.585	0.474884
0.0208114	931.155	0.50431
0.0208114	5236.27	0.531602
0.0208114	29445.7	0.737874
0.0658114	165.585	0.462646
0.0658114	931.155	0.490165
0.0658114	5236.27	0.623943
0.0658114	29445.7	0.938428
0.208114	165.585	0.419981
0.208114	931.155	0.55367
0.208114	5236.27	0.796909
0.208114	29445.7	0.998877
0.658114	165.585	0.27257
0.658114	931.155	0.667925
0.658114	5236.27	0.978196
0.658114	29445.7	0.999999
2.08114	165.585	0.0968402
2.08114	931.155	0.808177
2.08114	5236.27	0.999774
2.08114	29445.7	1
6.58114	165.585	0.0135706
6.58114	931.155	0.911304
6.58114	5236.27	1
6.58114	29445.7	1
