# Feasibility test for 500 iterations
#
# S/N	Njet	mean p-value
0.0208114	165.585	0.486593
0.0208114	931.155	0.417992
0.0208114	5236.27	0.180392
0.0208114	29445.7	7.48002e-06
0.0658114	165.585	0.372292
0.0658114	931.155	0.301073
0.0658114	5236.27	0.00475612
0.0658114	29445.7	3.39904e-29
0.208114	165.585	0.0846981
0.208114	931.155	0.0766993
0.208114	5236.27	7.99633e-09
0.208114	29445.7	8.87027e-137
0.658114	165.585	0.00360384
0.658114	931.155	0.000233725
0.658114	5236.27	5.32538e-49
0.658114	29445.7	0
2.08114	165.585	0
2.08114	931.155	7.82682e-15
2.08114	5236.27	2.81482e-153
2.08114	29445.7	0
6.58114	165.585	0
6.58114	931.155	1.65713e-35
6.58114	5236.27	0
6.58114	29445.7	0
