# Feasibility test for 500 iterations
#
# S/N	Njet	mean p-value
0.0208114	165.585	0.488148
0.0208114	931.155	0.480836
0.0208114	5236.27	0.360272
0.0208114	29445.7	0.0425548
0.0658114	165.585	0.324239
0.0658114	931.155	0.400905
0.0658114	5236.27	0.157805
0.0658114	29445.7	3.07358e-06
0.208114	165.585	0.00347015
0.208114	931.155	0.27293
0.208114	5236.27	0.00303268
0.208114	29445.7	1.28524e-31
0.658114	165.585	1.35167e-38
0.658114	931.155	0.0333735
0.658114	5236.27	1.38935e-09
0.658114	29445.7	2.98843e-125
2.08114	165.585	1.52753e-168
2.08114	931.155	3.44495e-07
2.08114	5236.27	8.24818e-33
2.08114	29445.7	0
6.58114	165.585	0
6.58114	931.155	1.17782e-42
6.58114	5236.27	1.01331e-78
6.58114	29445.7	0
2.08114	29445.7	0
6.58114	165.585	0
6.58114	29445.7	0
